INCL,LNG,MS,MS_subtype,r_overview,item,gloss,function_classes,clacomb_sem,notes,cxn_related,piv_sens,pro_null,mainCla_pro,cpxPreds,locii,source,examples
sample,KRL,cjxCla,left-edge,ba/bla 'DAT>PURP',ba/bla,DAT>PURP,t_result_purp,"indirsp, jussive",object purpose,,,,,,,Angelo2018_11-14,"[Angelo2018]""9"":""13"""
sample,KRL,cjxCla,left-edge,fo 'DAT',fo,DAT,t_result_purp,,object purpose,,,,,,,Angelo2018_13,"[Angelo2018]""12"", ""13"""
sample,KRL,int_disc_misc,,laigijad/latha/laad/la 'thus' [_dirsp],laigijad/latha/laad/la,thus,complement,,demonstrative,_dirsp,,,,,,Angelo2018_16,"[Angelo2018]""18B"""
sample,KRL,cjxCla,left-edge,we(ya) 'SUB',we(ya),SUB,reference,,interrogative,,,,,,,"Angelo2018_17, Phillips2011_App12-13","[Angelo2018]""20"", ""21"""
sample,KRL,cjxCla,left-edge,dumaji 'too.much>because',dumaji,too.much>because,t_prior_cause,cause,,,,,,,,"Angelo2018_20, SchultzeBerndt&Meakins2013_17-18","[S&M2013]""27"", [Angelo2018]""21"", [Phillips2011]""4-10"""
sample,KRL,cjxCla,left-edge,buji 'suppose>if',buji,suppose>if,cond,,,,,,,,,"Angelo2018_20, SchultzeBerndt&Meakins2013_17-18","[Sandefur1981_61]""L31"", [_65]""L33"", [SB2013]""58"", [Rumsey1983_179]""3"""
sample,DIY,cjxPbo,external,[V:INFL]-yari 'like',-yari,like,compar_manner,,,,,,,,,Austin2011,"""455"", ""457"""
sample,DJN,nfin,sV-RECO,(bare preverbs),(bare preverbs),(bare preverbs),t_result_purp,"temp-future, temp-prior",,,,yes,,,,Austin2011,"""123"", ""127"""
sample,DIY,nfin,converb,[V]:rnanthu/yani 'implDS',:rnanthu/yani,implDS,t_result_purp,,"[Diyeri] -rna PTCP + -nthu PROP, [Thirrari] ?",,DS,,,,,Austin2011_191-206,
sample,DIY,nfin,converb,[V]:lha/lhali 'implSS',:lha/lhalhi,implSS,t_result_purp,,"[Diyeri] FUT, [Thirrari] FUT-ERG",,SS,,,,,Austin2011_191-206,
sample,DIY,nfin,converb,[V]:rnanhi/rnda~rdanhi 'imperfDS',:rnanhi,imperfDS,"cond, t_simult_circ, reference",,PTCP + -nhi LOC,,DS,,,,,Austin2011_206-223,
sample,DIY,nfin,converb,[V]:rna/rnda~rda 'imperfSS',:rna/rnda~rda,imperfSS,"cond, t_simult_circ, reference",,PTCP,,SS,,,,,Austin2011_206-223,
sample,DIY,int_disc_misc,,karha 'maybe' [+V:imperfSS/DS],karha,maybe,cond,,epistemic,[+V:imperfSS/DS],,,,,,Austin2011_214,"""551"""
sample,DIY,cjxCla,left-edge,wintha 'when',wintha,when,t_simult_circ,,interrogative,,,,,,,Austin2011_216,"""558"""
sample,DIY,cjxCla,left-edge,[perc/cog/utter_](interrogatives/indefinites),(interrogatives/indefinites),(interrogatives/indefinites),complement,,interrogative,,,,,,,Austin2011_217-218,"""561"":""564"""
sample,DIY,int_disc_misc,[Diyeri/Thirrari],ngarda(-nhi) 'then(-LOC)',ngarda(-nhi),then(-LOC),t_result_purp,,next + LOC,,,,,,,Austin2011_218-219,"""57"", ""469"", ""472"""
sample,DIY,nfin,converb,[V]:ni(ngura) 'perfDS',:ni(ngura),perfDS,"t_prior_cause, reference",,NMZ + -ngura (ABL in other Karnic lngs? e.g. ARW),,DS,,,,,Austin2011_223-226,
sample,DIY,nfin,converb,[V]:rnandru/rndanhi~rdandru 'perfSS',:rnandru/rndanhi~rdandru,perfSS,"t_prior_cause, reference",,PTCP + ABL,,SS,,,,,Austin2011_223-226,
sample,DIY,nfin,converb,[V]:yathi 'lest',:yathi,lest,appreh,,,,,,,,,Austin2011_226-230,
sample,DIY,cjxCla,left-edge,ya 'and',ya,and,addit,,,,,,,,,Austin2011_230-235,"""612"":""618"""
sample,DIY,int_disc_misc,,karha 'maybe',karha,maybe,disjunct,,mod-epist,,,,,,,Austin2011_236,"""624"":""626"""
sample,NGI,cjxCla,interstitial,ungu 'when',ungu,when,t_simult_circ,,,,,,,,,Bannister2004_23_57,"""3a"", ""68"""
sample,NGI,int_disc_misc,left-edge,wonj/wunj 'then',wonj/wunj,then,t_result_purp,,,,,,,,,"Bannister2004_23, BerndtBerndt1993","[Bannister2004]""3b"""
sample,NGI,cjxCla,interstitial,mand 'because',manda,because,t_prior_cause,,,,,,,,,Bannister2004_77,"[Bannister2004]""57"""
sample,NGI,cjxCla,interstitial,lambula 'for/so',lambula,for/so,t_result_purp,,,,,,,,,"Bannister2004_86, BerndtBerndt1993","[Bannister2004]""101"", [Cerin2004]""254"""
sample,NGI,int_disc_misc,modal,[V]:ildal 'COND',:ildal,COND,cond,,(only one example),,,,,,,Bannister2004_96,"[Bannister2004]""79"""
sample,NGI,int_disc_misc,,e/a 'and/until',e/a,and/until,t_result_purp,endpoint,,,,,,,,"Bannister2004_96, BerndtBerndt1993","[Bannister2004]""80"""
sample,NGI,nfin,converb,[V(:AP)]:ambe 'OPT>PURP',:ambe,OPT>PURP,t_result_purp,,,[^PRO],,yes,,,,Bannister2004_98-103,"[Bannister2004]""84"", ""86"":""89"""
sample,ALY,cjxPbo,external,[V:INFL]-wiya 'QUANT',-wiya,QUANT,t_simult_circ,,,,,,,,,Bednall2020_276-278,"""8.23"":""8.29"""
sample,ALY,cjxPbo,external,[V:INFL]-lhangwiya 'PERL',-lhangwiya,PERL,t_simult_circ,,,,,,,,,Bednall2020_281-284,"""8.35"""
sample,ALY,indepCla,,MOD+SBJ+OBJ-V-TAM,,,mod-indic,,,,,,head,no,,Bednall2020_29-30,
sample,ALY,indepCla,,NEG.NPST-V-NEG.NPST,,,"mod-indic, mod-imper, neg",,negative non-past (incl. imperatives),,,,head,no,,Bednall2020_29-30_82-84,"""3.59"""
sample,ALY,int_disc_misc,mood,dhuk/dhukwa 'maybe',dhuk/dhukwa,maybe,disjunct,,mod-epist (one example),,,,,,,Bednall2020_320_326,"""9.61"""
sample,ALY,cjxCla,left-edge,if 'if',if,if,cond,,<Eng (one example in B2019),,,,,,,Bednall2020_357,"""10.4"""
sample,ALY,int_disc_misc,"mood, attitude",[V:unr]-maka 'EVIT',-maka,EVIT,cond,,"epistemic, avertive",,,,,,,Bednall2020_385-386_393-394,
sample,ALY,int_disc_misc,"mood, attitude",['fear'_V:IRR^PST]-maka 'EVIT',-maka,EVIT,complement,,,,,,,,,Bednall2020_389-390,"""10.77"", ""10.87"""
sample,ALY,int_disc_misc,,ekena/akena 'then/but',ekena/akena,then,contr_advers,,,,,,,,,Bednall2020_426,"""9.76"", ""G-3.44"""
sample,ALY,int_disc_misc,,biya 'and.then',biya,and.then,t_result_purp,,,,,,,,,Bednall2020_426,"""5.6"""
sample,ALY,int_disc_misc,,kemba 'then',kemba,then,t_result_purp,,,,,,,,,Bednall2020_426,
sample,ALY,int_disc_misc,,akwa 'and',akwa,and,"t_result_purp, addit",,,,,,,,,Bednall2020_426,"""3.92"", ""3.95"", ""5.8"""
sample,ALY,cjxCla,left-edge,yendhi-lhangwa 'until',yendhi-lhangwa,until,t_result_purp,endpoint,,,,,,,,"Bednall2020_426, Leeding1989_205","[Bednall2020]""6-76d"""
sample,ALY,cjxCla,left-edge,mena(-baba) 'because',mena(-baba),because,"t_prior_cause, appreh",,,,,,,,,Bednall2020_427,"[Bednall2020]""3.88"", ""9.123"""
sample,ALY,cjxCla,left-edge,kajungwa 'so that',kajungwa,so that,t_result_purp,,,,,,,,,Bednall2020_427,"[Bednall2020]""3.85"", ""6.53"""
sample,ALY,cjxCla,left-edge,nara-wiya 'before',nara-wiya,before,t_result_purp,,,,,,,,,Bednall2020_427,"[Bednall2020]""10.24"""
sample,ALY,int_disc_misc,,[V:INFL]-ma/m@rra[-CCASE] 'DEP',-ma/m@rra,DEP,reference,,,CCASE,pivot case,,,,,"Bednall2020_57-65_89-93, VanEgmond2012_","""3.67"":""3.77"""
sample,ALY,nfin,"converb, infin",[V]:k[(-PURP)] 'NSR',:k,NSR,"t_result_purp, complement","purpose, comp-cog, comp-jussive",lexical nominalisation,,,yes,,,R,"Bednall2020_65_86-89, VanEgmond2012_122-125","[VE2012]""60"":""69"", [B2019]""3-60"":""3-62"", [B2019]""3-64"":""3-66"""
sample,ALY,cjxPbo,external,[V:INFL(-DEP)|V:NSR]-baba 'REAS',-baba,REAS,t_prior_cause,,,,,,,,,Bednall2020_87,"""3.86"", ""9.123"""
sample,ALY,int_disc_misc,mood,[V:IRR|V:NSR]-yedha/yadha 'PURP',-yedha/yadha,PURP,t_result_purp,,,,,,,,,Bednall2020_87-89_95-96,"""3.8"", ""3.61"", ""3.66"", ""3.82"", ""3.83"", ""6.53"""
sample,ALY,cjxPbo,external,[V:INFL]-kba 'DZN',-kba,DZN,"appreh, complement",comp-whether,,,,,,,,Bednall2020_94-95,"""3.81"", ""8.11"":""8.13"""
sample,ALY,cjxPbo,external,[V:INFL-DEP]-lhangwa 'ABL',-lhangwa,ABL,t_prior_cause,,,,,,,,,Bednall2020_94-95,"""3.80"", ""3.87"""
sample,ALY,cjxPbo,external,[V:INFL-DEP]-wa 'ALL',-wa,ALL,t_result_purp,,,,,,,,,Bednall2020_94-95,"""3.79"""
sample,ALY,cjxPbo,external,[V:unr]-manja 'LOC',-manja,LOC,"t_simult_circ, cond",,case marker,,,,,,,Bednall2020_94-95,"""3.78"""
sample,ALY,int_disc_misc,"mood, attitude",[V:IRR^PST]-maka 'EVIT',-maka,EVIT,appreh,,,,,,,,,Bednall2020_97_384-394,
sample,NGI,int_disc_misc,modal,antha 'perhaps' [+when],antha,perhaps,cond,,epistemic,[+when],,,,,,"BerndtBerndt1993_X, Cerin1994_X",
sample,NGI,cjxCla,left-edge,luk/lukanth/luk yuman 'like/as.if',luk/lukanth/luk yuman,like/as.if,compar_manner,compar-ctf,< thus,,,,,,,"BerndtBerndt1993_X, Cerin1994_X","[B&B1993]""T82-6, ""T54-65"""
sample,NGI,cjxCla,left-edge,(demonstratives),(demonstratives),(demonstratives),reference,,,,,,,,,"BerndtBerndt1993_X, Cerin1994_X","[B&B1993]""A-4.4"", [Cerin1994]""317"", ""523"""
sample,SOC,int_disc_misc,mood?,[V:INFL-PRO]-dha/-ya 'HORT',-dha/-ya,HORT,t_result_purp,,(also as verb infl),,,,,,,Besold2012A_269-272,"""4-149"", ""5-116"", ""5-126"", ""5-128"""
sample,SOC,int_disc_misc,mood?,[X-THEN_V]:yi 'IF',:yi,IF,cond,,< POT? (Dharumbal) (only one example),,,,,,,"Besold2012A_273, Besold2012B_57","""5-134"""
sample,SOC,cjxPbo,external,[V:INFL]-ya/dha 'SUB/THEN',-ya/dha,SUB/THEN,"reference, complement",,,,,,,,,Besold2012A_300-301,
sample,SOC,nfin,converb,[V]:ri[^-PRO] 'PURP',:ri,PURP,t_result_purp,(seems to be nfin in Dharrawal only),soft imperative (insub?),[^-PRO],,yes,,,,Besold2012A_301-302,"""6-63"":""6-64"""
sample,SOC,cjxCla,left-edge,ba/ya 'and',ba/ya,and,addit,,,,,,,,,Besold2012A_302_305-306,"""417"", ""4-227"", ""680"", ""681"""
sample,SOC,cjxCla,left-edge,ma(dha) 'because',ma(dha),because,t_prior_cause,,,,,,,,,Besold2012A_306-307,"""4-58"", ""4-154b"", ""6-84"", ""6-86"", ""6-87"""
sample,SOC,cjxCla,left-edge,yagunja 'then',yagunja,then,t_result_purp,,,,,,,,,Besold2012A_308,"""6-91"""
sample,SOC,int_disc_misc,,dhadja 'then',dhadja,then,t_result_purp,,< dhadjan 'soon'? (Dharrawal),,,,,,,"Besold2012A_312-313, Besold2012B_248","""5-149"", ""7-5"""
sample,SOC,int_disc_misc,,yagundu 'then',yagundu,then,t_result_purp,,,,,,,,,Besold2012A_325-327,
sample,SOC,int_disc_misc,,yagun-gay 'then-?',yagun-gay,then-?,t_simult_circ,,,,,,,,,Besold2012A_325-327,
sample,MAK,int_disc_misc,mood,[V:PURP+sV]-noh 'intentive/benefactive',-noh,intentive/benefactive,t_result_purp,,,,,yes,,,,Birk1976_107-108,"[Birk1976]""261"", ""349"", ""422"", ""455"", ""457"", ""T1-62_63"", ""T1-108"", ""T2-54"""
sample,MAK,cjxPbo,"external, sV-CVBZ",[sV(-CONTIN)]-noh(-LOC) 'INTENT/BEN',-noh,INTENT/BEN,t_result_purp,,,,SS (O=S' in the one example with LOC),yes,,,,Birk1976_107-108,"[Birk1976]""261"", ""349"", ""422"", ""455"", ""457"":""458"", ""T1-62_63"", ""T1-108"", ""T2-54"", [Hoffmann2016]""16a"""
sample,MAK,int_disc_misc,mood,[V]:SJV [_V:FUT/PUNCT/PURP/SJV],:SJV,SJV,cond,,,_V:FUT/PUNCT/PURP/SJV,,,,,,Birk1976_123-124,"[Birk1976]""121"", ""153"", ""184"", ""199"", ""200"", ""219"", ""303"", ""429"":""432"""
sample,MAK,int_disc_misc,mood,[V]:PURP [_V:PURP],:PURP,PURP,"cond, t_result_purp",,,_V:PURP,,,,,,Birk1976_123-124,"[Birk1976]""115"", ""428"""
sample,MAK,int_disc_misc,discoSeq,aniny 'then',aniny,then,t_result_purp,,,,,,,,,Birk1976_40,"[Birk1976]""96"""
sample,MAK,int_disc_misc,discoSeq,yerra 'well/now/then',yerra,well/now/then,t_result_purp,,,,,,,,,Birk1976_40,"[Birk1976]""97"""
sample,MAK,int_disc_misc,mood,[V:PURP+sV]-telk/puk 'possib',-telk/puk,possib,appreh,,,,,,,,,Birk1976_89,"[Birk1976]""T2-64_65"", ""T1-108_109"", ""T1-196"""
sample,MAK,int_disc_misc,aspect,[V:INFL+sV]-ali 'participial',-ali,participial,"t_simult_circ, compar_manner",,,,,,,,,Birk1976_91,"[Birk1976]""464"", ""465a"":""465c"", ""469"""
sample,MAK,cjxPbo,"external, sV-CVBZ",[sV]-ali(-LOC) 'PTCP',-ali,PTCP,"t_simult_circ, compar_manner",,stance/posture,,,yes,,,,Birk1976_91_129-131,"[Birk1976]""T1-104_105"""
sample,MAK,int_disc_misc,redu-modif,[V:INFL+sV]-many 'ABL/departing from',-many,ABL/departing from,t_prior_cause,,,,,,,,,Birk1976_91-92_114-115,"[Birk1976]""304"":""307"""
sample,MAK,int_disc_misc,,[sV(-PTCP/INTENT)]-na 'LOC',-na,LOC,?,,,,??,yes,,,,Birk1976-115-116,"[Birk1976]""458"", ""T1-104_105"""
sample,BGB,cjxPbo,external,[V:INFL]-yi 'SUB',-yi,SUB,"reference, complement, t_simult_circ, t_result_purp, appreh, contr_advers",,,,,,,,,Blake1973_41-44,
sample,KKT,pivCase,external,[V:PTCP/NOW]-CCASE,-CCASE,CCASE,reference,,,??,pivot case,,,,,Blake2012_?,"[B1979]""5.13"", [B2012]""7.3"", ""7.52"", ""17.29a"""
sample,KKT,cjxCla,left-edge,puyu 'if',puyu,if,cond,,,,,,,,,Blake2012_107-108,"[B2012]""14.53"""
sample,KKT,int_disc_misc,,[X]-yana 'and',-yana,and,t_result_purp,temp-future,N-addition,,,,,,,Blake2012_108,"[B2012]""6.27"", ""14.62"":""14.64"", ""T3-4"", ""T4-2"""
sample,KKT,int_disc_misc,,(same infl),(same infl),(same infl),compar_manner,serial,,,,,,,,Blake2012_119,"[B2012]""17.15"":""17:21"""
sample,KKT,int_disc_misc,,[V]:mia 'IRR',:mia,IRR,appreh,,"past intentional, past possible",,,,,,,Blake2012_42-43,"[B2012]""6.12"", ""6.13"""
sample,KKT,int_disc_misc,"tense, aspect",[V:0/PST_V]:mpa 'PERF',:mpa,PERF,t_result_purp,temp-prior,aspect-perfective,V:0/PST_,,,,,,Blake2012_43-44,"[B2012]""6.27"":""6.30"""
sample,KKT,nfin,converb,[V:IRR/FUT_V]:Cin[(-ta/ka)] 'PTCP'[(-LOC)],:Cin,PTCP,cond,,,"V:IRR/FUT_, (-ta/ka 'LOC')",,,,,,Blake2012_49-53,"[B2012]""4.56"", ""6.13"", ""7.32"", ""7.33"", ""7.36"", ""7.40"""
sample,KKT,nfin,converb,[V]:Cin 'PTCP',:Cin,PTCP,"reference, t_simult_circ, t_prior_cause",,"""non-TA-specific value"" (insub?)",,,,,,,Blake2012_49-53,"[B2012]""4.53"", ""4.54"""
sample,KKT,cjxPbo,"external, post-infl",[desid_V:PTCP]-ku 'DAT' [+O-DAT],-ku,DAT,complement,comp-desid,,"desid_, +O-DAT",S=S',,,,,Blake2012_50,"[B2012]""7.16"""
sample,KKT,cjxPbo,external,[V:PTCP]-ta/ka 'LOC>WHEN',-ta/ka,LOC>WHEN,t_simult_circ,,,V:PTCP,DS,,,,,Blake2012_51-52,"[B2012]""7.27"":""7.35"""
sample,KKT,int_disc_misc,,[V]:manthi 'NOW',:manthi,NOW,"complement, t_simult_circ",,imperfective contemporary,,,,,,,Blake2012_53-54,"[B2012]""6.19"", ""7.46"""
sample,KKT,nfin,converb,[V]:manthi-i 'NOW-DAT',:manthi-i,NOW-DAT,complement,,,,,,,,,Blake2012_54,"[B2012]""7.52"""
sample,KKT,cjxCla,left-edge,a-/lha- 'PURP',a-/lha-,PURP,"complement, t_result_purp",comp-desid,,,,,,,,Blake2012_55-63,"[B2012]""4.125"", ""8.1"":""8.6"", ""8.9"", ""8.12"", ""8.15"", ""8.19"", ""8.22"", ""8.25"":""8.28"", ""8.31"", ""17.14"", ""17.16"""
sample,KKT,nfin,converb,[V]:ntjaaya 'PURP',:ntjaaya,PURP,"complement, t_result_purp",,"intention, future (insub?)",,,,,,,Blake2012_63-65,"[B2012]""8.65"", ""8.67"", ""8.70"", ""8.73"""
sample,KKT,cjxCla,left-edge,unu/ana 'LEST',unu/ana,LEST,appreh,,,,,,,,,Blake2012_66-71,"[B2012]""9.1"", ""9.2"", ""9.4"":""9.7"", ""9.37"""
sample,KKT,cjxPbo,external,[V:FUT]-thi 'LOC' [+REL],-thi,LOC,"t_simult_circ, t_result_purp",,,"V:mi, +REL",not DS,,,,,Blake2012_72-76,"[B2012]""10.16"":""10.24"", ""10.26"", ""10.27"", ""10.30"":""10.35"""
sample,KKT,cjxCla,left-edge,ngu 'REL',ngu,REL,"reference, t_simult_circ, t_result_purp",,,,,,,,,Blake2012_72-76,"[B2012]""10.7"", ""10.15"":""10.28"", ""10.30"", ""10.31"", ""10.34"", ""10.35"", ""10.38"""
sample,KKT,cjxCla,left-edge,ngu 'REL' [+V:FUT-LOC],ngu,REL,t_result_purp,,,+V:FUT-LOC,,,,,,Blake2012_72-76,"[B2012]""10.16"":""10.24"", ""10.26"", ""10.27"", ""10.30"":""10.35"""
sample,NHD,int_disc_misc,,[V]:nda-ndha 'IRR-FUT',:nda-ndha,IRR-FUT,cond,,,,,,,,,Blevins2001_102-103,"""92c"", ""94bc"""
sample,NHD,nfin,"converb, infin","[V]:jad[-PRES/PST, ^PRO] 'PTCP'",:jad,PTCP,"t_prior_cause, t_simult_circ, complement",,"reciprocal deriv, nominalisation",[-PRES/PST] (not dependent) [^PRO],x,maybe,,,,Blevins2001_111,"""99c"", ""105a"":""105e"", ""106a"":""106c"", ""132a"", ""134bb"""
sample,NHD,int_disc_misc,,[V]:ndha 'FUT',:nhaa,FUT,t_result_purp,,,,,,,,,Blevins2001_113-114,"""79bb"", ""110""a:""110c"""
sample,NHD,cjxPbo,external,[V:PST]-wu 'CAUS',-wu,CAUS,t_prior_cause,,,[V:PST],,,,,,Blevins2001_114,"""111a"":""111b"""
sample,NHD,int_disc_misc,,urdamundi 'then',urdamundi,then,t_result_purp,,,,,,,,,Blevins2001_116,"""71g"", ""92c"""
sample,NHD,cjxCla,left-edge,wutkatpacadi 'meanwhile',wutkatpacadi,meanwhile,t_simult_circ,,,,,,,,,Blevins2001_116_131-132,"""94aa"", ""114e"", ""133i"":""133k"""
sample,NHD,int_disc_misc,,(relative tense),relative tense,relative tense,t_result_purp,,,,,,,,,Blevins2001_123,"""121b"", ""133b"""
sample,NHD,cjxCla,left-edge,kala 'and',kala,and,t_result_purp,,,,,,,,,Blevins2001_134,"""136a"":""136c"""
sample,WAP,cjxCla,interstitial,manu 'and',manu,and,addit,,nom/verb conjunction,,,,,,,Bowler2014,"[B2014]""17"""
sample,WAP,int_disc_misc,,marda 'maybe',marda,maybe,disjunct,,mod-epist,,,,,,,Bowler2014_13-18_42-49,
sample,WAP,cjxCla,left-edge,kaji 'IF/POT',kaji,IF/POT,"cond, t_result_purp, t_simult_circ",,,,,,,,,Bowler2014_7-9,"[S1983]""417"", [S1991]""289"", [S1991]""328"", [B2014]""20"":""22"""
sample,NGM,int_disc_misc,"mood, aspect",pidding 'if' [+V:IRR],pidding,if,cond,,"'always', insub",[+V:IRR],,,,,,Brandenstein1980_110,
sample,NGM,int_disc_misc,,puddaa 'later/then/soon',puddaa,maybe/as soon as/by-and-by/later,"t_simult_circ, t_prior_cause, t_result_purp, cond",,,,,,,,,Brandenstein1980_111,
sample,NGM,int_disc_misc,,puddai 'maybe/by-and-by',puddai,maybe/by-and-by,"t_simult_circ, t_result_purp",,,,,,,,,Brandenstein1980_111,
sample,NGM,int_disc_misc,,[V]:N(u)[(-LOC)] 'PTCP',:N(u),PTCP,"t_simult_circ, t_prior_cause",,,,,,,,,Brandenstein1980_26_28,
sample,NGM,int_disc_misc,,tjula 'FUT',jula,FUT,t_result_purp,intentional,,,,,,,,Brandenstein1980_26-27,
sample,NGM,int_disc_misc,"mood, aspect?",[V]:gu-n 'IRR-PTCP',:gu-n,IRR-PTCP,compar_manner,,,,,,,,,Brandenstein1980_27,
sample,NGM,nfin,converb,[V]:gurdi 'forward',:gurdi,forward,t_result_purp,,,,,,,,,Brandenstein1980_27,"""62-8"", ""62-9"""
sample,NGM,int_disc_misc,,[V]:gu[(-CASE)] 'ADIT>IRR',:gu,ADIT>IRR,cond,,"epistemic, deontic",,,,,,,Brandenstein1980_27,
sample,NGM,cjxPbo,external,[V:PTCP/IRR]-Ca 'LOC',-Ca,LOC,"t_simult_circ, t_prior_cause",,,,,,,,,Brandenstein1980_28,
sample,NGM,cjxCla,left-edge,kuni[-CASE] 'what',kuna,what,reference,,,,,,,,,Brandenstein1980_30-31,"[B1980_30_31]""1"":""12"""
sample,BGB,cjxCla,left-edge,wanyu [+V:SUB] 'whenever',wanyu,whenever,,,,[+V:SUB],,,,,,Breen1973_112-113,"[43]""6"", [112]""4"""
sample,BGB,int_disc_misc,,[V]:lgu 'for',:lgu,for,t_result_purp,,,,,,,,,Breen1973_93,"[_93]""1"":""5"""
sample,BGB,int_disc_misc,,[V]:lgu-wula 'for-was',:lgu-wula,for-was,contr_advers,,,,,,,,,Breen1973_94,"[_94]""2"":""3"""
sample,BGB,int_disc_misc,,[V]:lgina(-SUB) 'would',:lgina,would,"cond, contr_advers, complement",cond-ctf,,,,,,,,Breen1973_95-96,"[_95]""1"":""2"", [_96]""3"""
sample,WGA,cjxPbo,"external, converb, post-infl",[V:NOM]-nga 'after' [+O-AFTER],-nga,AFTER,t_prior_cause,,,+O-AFTER,SS,yes,,,,Breen1974_120-121,
sample,WGA,cjxPbo,"external, converb, post-infl",[V:NOM]-ngi 'CONSEQ' [(+O-ALL)],-ngi,CONSEQ,"t_prior_cause, t_result_purp",,insub,(+O-ALL) (one ex),x,yes,,,,Breen1974_134-135,"""1-92"", ""1-95"", ""4.2-65"":""4.2-67"", ""4.2-77"":""4.2-79"", ""4.2-83b"""
sample,WGA,nfin,redu-modif,[V:AG]-Vparl 'caus',-Vparl,CAUS,compar_manner,privative?,,,,yes,,,,Breen1974_138,
sample,WGA,cjxPbo,"external, converb, post-infl",[V:PST/NOM]-(nge)p 'GEN?',-(nge)p,GEN?,t_prior_cause,,"insub, two tenuous examples",,SS/O=S'?,yes,,,,Breen1974_144,"""4.5-2"", ""4.5-4"""
sample,WGA,int_disc_misc,,piikij 'still',piikij,still,concess,,,,,,,,,Breen1974_148,
sample,WGA,cjxCla,left-edge,pa 'and',pa,and,,,,,,,,,,Breen1974_15,"""1-61"":""1-65"", ""3.2-23"", ""4.2-65b"", ""5-9"", ""5-16"", ""4.2-65a"""
sample,WGA,int_disc_misc,,wiy 'question',wiy,QUESTION,cond,cond-hyp,,,,,,,,Breen1974_157-158,
sample,WGA,int_disc_misc,,welim 'right',welim,right,t_result_purp,,,,,,,,,Breen1974_161-162,
sample,WGA,int_disc_misc,,[X]-kal 'FIRST',-kal,FIRST,t_simult_circ,,,,,,,,,Breen1974_167,
sample,WGA,cjxCla,left-edge,but 'but',but,but,contr_advers,,(one example),,,,,,,Breen1974_168,"""7-99"""
sample,WGA,int_disc_misc,,[X/V:INFL]-ing(-PRO) 'then',-inga,then,"t_result_purp, contrast",,,X/V:INFL,,,,,,Breen1974_170,
sample,WGA,int_disc_misc,,[X]-kart 'connective?',-kart,connective?,t_simult_circ,,,,,,,,,Breen1974_173,
sample,WGA,int_disc_misc,,puun 'too',puun,too,addit,,,,,,,,,Breen1974_18_159,"""1-66"", ""6.1-2"""
sample,WGA,int_disc_misc,mood,[V]:arliy 'PST.PURP/IRR',:arliy,PST.PURP/IRR,cond,cond-ctf,,,,,,,,Breen1974_18-19_116-117,
sample,WGA,nfin,?converb,[perc_V]:en 'compl',:en,COMPL,complement,,(one example),[perc_,,yes,,,,Breen1974_180,"""4.2-85"""
sample,WGA,int_disc_misc,,[X]-l 'yet',-l,yet,concess,,,,,,,,,Breen1974_188,"""7-097"", ""7-098"", ""7-100"""
sample,WGA,cjxCla,left-edge,tha 'but',tha,but,contr_advers,,(one example),,,,,,,Breen1974_19,"""1-67"""
